period,lower,upper,base,marginal_rate,effective_from,ato_source,version
weekly,529,530,103,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,531,531,103,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,532,533,104,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,534,534,104,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,535,536,105,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,537,537,105,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,538,539,106,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,540,540,106,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,541,542,107,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,543,543,107,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,544,545,108,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,546,546,108,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,547,548,109,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,549,549,109,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,550,551,110,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,552,552,110,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,553,699,111,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,700,780,111,0.9012345679,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,781,781,184,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,782,782,184,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,783,784,185,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,785,785,185,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,786,788,186,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,789,788,186,3.0303030303,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,789,790,187,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,791,791,187,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,792,793,188,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,794,794,188,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,795,796,189,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,797,797,189,1.4925373134,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,798,799,190,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,800,800,190,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,801,802,191,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,803,803,191,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,804,805,192,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,806,806,192,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,807,809,193,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,810,810,193,1.4925373134,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,811,812,194,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,813,813,194,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,814,815,195,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,816,816,195,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,817,818,196,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,819,819,196,1,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
weekly,820,821,197,0,2024-07-01,ATO PAYG weekly 2024-07-01 (normalized curve),
